node_num,node_name,node_type
1126,LYN,gene
1130,MALT1,gene
1131,MAML1,gene
1132,MAML2,gene
1133,MAML3,gene
1134,MAP2K1,gene
1135,MAP2K2,gene
1136,MAP2K3,gene
1137,MAP2K4,gene
1139,MAP2K6,gene
1140,MAP2K7,gene
1141,MAP3K1,gene
1145,MAP3K14,gene
1147,MAP3K20,gene
1149,MAP3K4,gene
1150,MAP3K5,gene
1152,MAP3K7,gene
1153,MAP3K8,gene
1158,MAPK1,gene
1159,MAPK10,gene
1160,MAPK11,gene
1161,MAPK12,gene
1162,MAPK13,gene
1163,MAPK14,gene
1164,MAPK15,gene
1165,MAPK3,gene
1166,MAPK4,gene
1167,MAPK6,gene
1168,MAPK7,gene
1169,MAPK8,gene
1170,MAPK8IP1,gene
1172,MAPK8IP3,gene
1173,MAPK9,gene
1175,MAPKAPK2,gene
1176,MAPKAPK3,gene
1177,MAPKAPK5,gene
1178,MAPT,gene
1179,MATK,gene
1180,MAVS,gene
1181,MAX,gene
1183,MCL1,gene
1184,MDM2,gene
1186,ME1,gene
1187,ME3,gene
1189,MED1,gene
1190,MED12L,gene
1191,MED13,gene
1192,MED13L,gene
1193,MED16,gene
1194,MED17,gene
1195,MED24,gene
1196,MED27,gene
1197,MED30,gene
1198,MED4,gene
1199,MEF2A,gene
1200,MEF2B,gene
1201,MEF2C,gene
1202,MEF2D,gene
1205,MET,gene
1212,MKNK2,gene
1214,MLST8,gene
1215,MLYCD,gene
1216,MMP1,gene
1217,MMP13,gene
1218,MMP14,gene
1219,MMP2,gene
1220,MMP3,gene
1222,MMP9,gene
1227,MRAS,gene
1228,MS4A2,gene
1229,MST1,gene
1230,MST1R,gene
1231,MTOR,gene
1232,MUC5B,gene
1233,MYB,gene
1234,MYC,gene
1236,MYH6,gene
1237,MYH7,gene
1251,NCF1,gene
1253,NCK2,gene
1254,NCOA1,gene
1255,NCOA2,gene
1256,NCOA3,gene
1257,NCOR1,gene
1258,NCOR2,gene
1264,NFATC1,gene
1265,NFATC2,gene
1266,NFATC3,gene
1267,NFATC4,gene
1268,NFKB1,gene
1269,NFKB2,gene
1270,NFKBIA,gene
1271,NFKBIB,gene
1272,NFKBIE,gene
1273,NGF,gene
1274,NGFR,gene
1277,NLK,gene
1279,NLRP1,gene
1280,NLRP12,gene
1281,NLRP3,gene
1286,NOD2,gene
1289,NOS1,gene
1290,NOS2,gene
1291,NOS3,gene
1298,NPPA,gene
1299,NPPB,gene
1305,NPY,gene
1307,NR1H3,gene
1308,NR4A1,gene
1309,NRAS,gene
1313,NRG3,gene
1316,NTF3,gene
1317,NTF4,gene
1318,NTRK1,gene
1319,NTRK2,gene
1320,NTRK3,gene
1324,OLR1,gene
1326,OPRM1,gene
1330,OSM,gene
