node_num,node_name,node_type,outgoing_weight,incoming_weight,total_weight
1479,PPP1R3B,gene,0.0,0.4372027761999999,0.4372027761999999
1480,PPP1R3C,gene,0.0,0.0,0.0
1481,PPP1R3D,gene,0.0,0.0,0.0
1482,PPP1R3E,gene,0.0,0.0,0.0
1483,PPP2CA,gene,2.974779446,0.0,2.974779446
1484,PPP2CB,gene,2.9262594968,0.2107002805999999,3.1369597774
1485,PPP2R1A,gene,2.1881121338,0.244482231,2.4325943648
1486,PPP2R1B,gene,2.0950723069999997,0.0,2.0950723069999997
1487,PPP2R2A,gene,1.4970017459999998,0.0,1.4970017459999998
1488,PPP2R2B,gene,1.538237501,0.0,1.538237501
1489,PPP2R2C,gene,1.138379976,0.0,1.138379976
1490,PPP2R2D,gene,1.5364335059999998,0.0,1.5364335059999998
1491,PPP2R3A,gene,1.6207893420000001,0.0,1.6207893420000001
1492,PPP2R3C,gene,1.59053546,0.0,1.59053546
1493,PPP2R5A,gene,1.0151948739999999,0.0,1.0151948739999999
1494,PPP2R5B,gene,1.308068048,0.0,1.308068048
1495,PPP2R5C,gene,1.440628387,0.0,1.440628387
1496,PPP2R5D,gene,1.667063974,0.0,1.667063974
1497,PPP2R5E,gene,1.538470703,0.0,1.538470703
1498,PPP3CA,gene,0.0,0.0,0.0
1499,PPP3CB,gene,0.4570637592,0.0,0.4570637592
1500,PPP3CC,gene,0.2184228839999999,0.0,0.2184228839999999
1501,PPP3R1,gene,0.0,0.0,0.0
1502,PPP3R2,gene,0.2269519059999999,0.0,0.2269519059999999
1503,PPP4C,gene,0.0,0.0,0.0
1504,PPP4R3A,gene,0.0,0.0,0.0
1505,PPP4R3B,gene,0.0,0.0,0.0
1506,PPP5C,gene,0.0,0.0,0.0
1507,PRDM4,gene,0.0,0.0,0.0
1508,PREX1,gene,0.0,0.211621946,0.211621946
1509,PRICKLE1,gene,0.0,0.0,0.0
1510,PRICKLE2,gene,0.0,0.0,0.0
1511,PRICKLE4,gene,0.0,0.0,0.0
1512,PRKAA1,gene,2.3817673360000002,2.2627429184,4.6445102544
1513,PRKAA2,gene,4.228347524599999,2.2528586039999996,6.4812061285999985
