source,target,type,weight,source_name,target_name
709,1396,gene-gene,0.3762964059999999,GNAI1,PIK3CA
709,1397,gene-gene,0.4091816599999999,GNAI1,PIK3CB
709,1398,gene-gene,0.298195078,GNAI1,PIK3CD
709,1401,gene-gene,0.377881522,GNAI1,PIK3R2
709,1402,gene-gene,0.239030146,GNAI1,PIK3R3
709,1404,gene-gene,0.2235457164,GNAI1,PIK3R5
709,1405,gene-gene,0.2442198572,GNAI1,PIK3R6
709,1435,gene-gene,0.331433184,GNAI1,PLCB1
709,1438,gene-gene,0.289826664,GNAI1,PLCB4
709,1801,gene-gene,0.5442752439999999,GNAI1,SRC
709,1326,gene-gene,0.272494698,GNAI1,OPRM1
709,1685,gene-gene,0.205327482,GNAI1,RXFP3
710,720,gene-gene,0.241321596,GNAI2,GNB5
710,730,gene-gene,0.201347142,GNAI2,GNG8
710,811,gene-gene,0.20202249,GNAI2,HRAS
710,1000,gene-gene,0.243605984,GNAI2,KCNJ5
710,1126,gene-gene,0.336169064,GNAI2,LYN
710,1309,gene-gene,0.291814916,GNAI2,NRAS
710,1396,gene-gene,0.263357556,GNAI2,PIK3CA
710,1397,gene-gene,0.361775198,GNAI2,PIK3CB
710,1398,gene-gene,0.304474108,GNAI2,PIK3CD
710,1400,gene-gene,0.2997655099999999,GNAI2,PIK3R1
710,1401,gene-gene,0.4078595459999999,GNAI2,PIK3R2
710,1402,gene-gene,0.276643174,GNAI2,PIK3R3
710,1405,gene-gene,0.217552464,GNAI2,PIK3R6
710,1435,gene-gene,0.322225976,GNAI2,PLCB1
710,1436,gene-gene,0.357293724,GNAI2,PLCB2
710,1437,gene-gene,0.336301544,GNAI2,PLCB3
710,1438,gene-gene,0.219439452,GNAI2,PLCB4
710,1529,gene-gene,0.2231465899999999,GNAI2,PRKCE
710,1801,gene-gene,0.5660123739999999,GNAI2,SRC
710,828,gene-gene,0.2245923448,GNAI2,HTR1E
710,1698,gene-gene,0.2107255528,GNAI2,S1PR1
711,721,gene-gene,0.2372292599999999,GNAI3,GNG10
711,1019,gene-gene,0.26440384,GNAI3,KRAS
711,1126,gene-gene,0.471092244,GNAI3,LYN
711,1291,gene-gene,0.20623381,GNAI3,NOS3
711,1309,gene-gene,0.211129468,GNAI3,NRAS
711,1396,gene-gene,0.3680424978,GNAI3,PIK3CA
711,1397,gene-gene,0.361865048,GNAI3,PIK3CB
711,1398,gene-gene,0.275509264,GNAI3,PIK3CD
711,1400,gene-gene,0.310934146,GNAI3,PIK3R1
711,1401,gene-gene,0.30468244,GNAI3,PIK3R2
711,1404,gene-gene,0.2397134668,GNAI3,PIK3R5
711,1435,gene-gene,0.297429746,GNAI3,PLCB1
711,1436,gene-gene,0.354511274,GNAI3,PLCB2
711,1437,gene-gene,0.2424380559999999,GNAI3,PLCB3
711,1438,gene-gene,0.289158698,GNAI3,PLCB4
711,1801,gene-gene,0.613687958,GNAI3,SRC
713,1399,gene-gene,0.2272199339999999,GNAO1,PIK3CG
713,1437,gene-gene,0.30041814,GNAO1,PLCB3
713,1801,gene-gene,0.471996832,GNAO1,SRC
714,1514,gene-gene,0.2985090019999999,GNAQ,PRKAB1
715,1801,gene-gene,0.484041212,GNAS,SRC
716,1400,gene-gene,0.225734426,GNB1,PIK3R1
716,1401,gene-gene,0.2221334365999999,GNB1,PIK3R2
716,1437,gene-gene,0.20317607,GNB1,PLCB3
716,1515,gene-gene,0.2174549599999999,GNB1,PRKAB2
717,1398,gene-gene,0.24819337168,GNB2,PIK3CD
717,1400,gene-gene,0.34528785,GNB2,PIK3R1
717,1402,gene-gene,0.3090859112,GNB2,PIK3R3
717,1437,gene-gene,0.214910212,GNB2,PLCB3
717,1520,gene-gene,0.2934834006,GNB2,PRKAG2
718,1396,gene-gene,0.225321724,GNB3,PIK3CA
718,1397,gene-gene,0.2178696695,GNB3,PIK3CB
718,1400,gene-gene,0.21426397,GNB3,PIK3R1
718,1402,gene-gene,0.23539746614,GNB3,PIK3R3
718,1512,gene-gene,0.223782295,GNB3,PRKAA1
719,1397,gene-gene,0.253120927,GNB4,PIK3CB
719,1398,gene-gene,0.2180658472,GNB4,PIK3CD
719,1402,gene-gene,0.2443716252,GNB4,PIK3R3
719,1436,gene-gene,0.2137349168,GNB4,PLCB2
719,1437,gene-gene,0.2238263208,GNB4,PLCB3
719,1513,gene-gene,0.2817733668,GNB4,PRKAA2
719,1514,gene-gene,0.21099245,GNB4,PRKAB1
719,1520,gene-gene,0.2311035032,GNB4,PRKAG2
720,1400,gene-gene,0.2089589504,GNB5,PIK3R1
720,1438,gene-gene,0.20345456,GNB5,PLCB4
720,1443,gene-gene,0.264727166,GNB5,PLCG1
720,1513,gene-gene,0.2255065473999999,GNB5,PRKAA2
720,1519,gene-gene,0.20743957,GNB5,PRKAG1
721,1397,gene-gene,0.2209311249999999,GNG10,PIK3CB
721,1435,gene-gene,0.230148448,GNG10,PLCB1
722,1396,gene-gene,0.2884892812,GNG11,PIK3CA
722,1398,gene-gene,0.2341314302,GNG11,PIK3CD
