gene_idx,gene_name,degree
183,BRCA1,0.4569126708
184,BTC,0.5023427595999999
185,BTRC,0.3899056307378655
186,CAB39,1.0601645425383857
187,CAB39L,0.9630148183764736
188,CACNA1C,0.14518356652693534
189,CACNA1D,0.22575521029425938
190,CACNA1S,0.055577732156735345
191,CACNA2D1,0.000265447379031
192,CACNA2D2,0.0099083849961386
193,CACNA2D3,0.024195456469852
194,CACNA2D4,5.60607320548096e-05
195,CACNB1,0.0011780142146
196,CACNB2,1.486783771294864e-05
197,CACNB3,2.9620505130288e-05
198,CACNB4,0.0027593782245395
199,CACNG1,1.557756619992964e-05
200,CACNG2,0.000238994987374
201,CACNG3,0.0004424938469538
202,CACNG4,0.0107954686674801
203,CACNG5,6.3753345796e-06
204,CACNG6,6.114214267789801e-07
205,CACNG7,3.8693583416042e-08
206,CACNG8,0.0097183809155848
207,CACYBP,0.048663856759493196
208,CALM1,1.241201192127928
209,CALM2,1.0123379335288993
210,CALM3,1.1022449503448766
211,CALML3,0.8108412171008477
212,CALML4,1.2632786308699944
213,CALML5,0.8846801595706987
214,CALML6,0.9981403920934339
215,CAMK1,0.14573005773747516
216,CAMK1D,0.0753968687374109
217,CAMK1G,0.07196295204095368
218,CAMK2A,0.641886486005469
219,CAMK2B,0.6775397902373324
220,CAMK2D,0.7113949690363701
221,CAMK2G,0.8408306047576465
222,CAMK4,5.949633554709998
223,CAMKK2,1.2199912689327355
224,CAMP,1.1779229119999999
225,CARD10,0.2152773904630716
226,CARD11,0.4843616949650527
227,CARD14,0.09132842419058121
228,CARD16,0.0550678818501363
229,CARD17,3.943144423856671e-05
230,CARD18,3.2484504802580795e-05
231,CARD6,2.130983298808e-06
232,CARD8,0.0389886108
233,CARD9,4.463895612839999
234,CASP1,0.34029342623736997
235,CASP10,0.4757461291819989
236,CASP12,8.2459708272907e-06
237,CASP3,5.636828996659999
238,CASP4,0.0254790150251876
239,CASP5,5.110670699144e-08
240,CASP7,0.00034409879046966996
241,CASP8,1.062552144285742
242,CASP9,0.5666799774236226
243,CASQ1,0.04981594128308027
244,CASQ2,0.1074449623629613
245,CASR,0.651545417
246,CASTOR1,0.021870556650498526
247,CASTOR2,1.0906727119e-08
248,CAT,0.1302696582
249,CBL,0.557627071406
250,CBLB,2.379560773
251,CCKAR,0.027444250867757574
252,CCKBR,0.008530120942544094
253,CCL1,0.10113958935368872
254,CCL11,2.895388738572
255,CCL13,0.20039727080246295
256,CCL14,0.10820056793798949
257,CCL15,0.007459697422924739
258,CCL16,0.0528633889912022
259,CCL17,2.7616398342
260,CCL18,0.0368392011620657
261,CCL19,0.1216079144353148
262,CCL2,2.6133229244879996
263,CCL20,2.663705385165999
264,CCL21,0.12274981200660322
265,CCL22,1.0653036205416
266,CCL23,0.19113383632737702
267,CCL24,0.07315751924400252
268,CCL25,0.09355367295203762
269,CCL26,0.18210252272035277
270,CCL27,0.13498664285330764
271,CCL28,0.06662210834017958
272,CCL3,2.0981564626519997
273,CCL3L1,1.9906545910973994
274,CCL3L3,1.7643159200419996
275,CCL4,2.0237889898959995
276,CCL4L1,1.4992815337719996
277,CCL4L2,1.624422337847095
278,CCL5,1.6767109949039993
279,CCL7,2.8791170881719994
280,CCL8,0.08799851989933606
281,CCNA1,1.26473392098e-07
282,CCNA2,0.0167796954438008
283,CCNB1,0.3894626960397416
284,CCNB2,0.3211843614227445
285,CCND1,7.371367875286001
286,CCND2,4.167755832771999
287,CCND3,3.6792246276080003
288,CCNE1,0.6844431582982671
289,CCNE2,0.8189555954299376
290,CCNG1,0.1232326595999999
291,CCNG2,0.28648088152599993
292,CCR1,1.4017097581751483
293,CCR10,1.6001775548689345
294,CCR2,1.3446627329102154
295,CCR3,1.5378743796311862
296,CCR4,1.3840126778163784
297,CCR5,1.2234096796255856
298,CCR6,1.7916665565528918
299,CCR7,1.2720142643949208
300,CCR8,1.61701862382642
301,CCR9,1.4952862570913517
302,CD14,0.1480348436469165
303,CD19,1.93759865382
304,CD209,0.15394088
305,CD22,0.0140147805691943
306,CD247,0.4632360826
307,CD28,1.15496969984
308,CD36,4.1112401566
309,CD38,0.6091882711999999
310,CD3E,0.40084374
311,CD4,0.482371468
312,CD40,0.32931006289712994
313,CD72,7.691634596507524e-05
314,CD79A,0.270812458
315,CD79B,0.302031208
316,CD80,2.394459935465e-06
317,CD82,0.1534369724
318,CD86,0.0077810700649018
319,CD8A,0.464712084
320,CD8B,0.300340712
321,CDC25B,1.0451202253999998
322,CDC37,0.6425074925243125
323,CDC42,4.313099819134
324,CDH1,0.2230923427356651
325,CDK1,0.19773724985525537
326,CDK2,0.5424643488682888
327,CDK4,2.76742654342
328,CDK6,0.4560079476662727
329,CDKN1A,6.776293069399999
330,CDKN1B,1.5044305643548637
331,CDKN2A,0.0171126178046255
332,CDKN2B,0.8476368015399997
333,CDKN2D,0.1416025942
334,CDON,0.12339445408103625
335,CEBPB,9.681859719
336,CER1,0.2238610398547542
337,CFLAR,0.6699917891799999
338,CFTR,1.5524947811459997
339,CGA,0.18501032210178048
340,CHAD,0.31529477348406104
341,CHD8,0.0001104527651749
342,CHEK1,0.264664256178
343,CHEK2,0.2641819955184882
344,CHRD,0.05102419423885566
345,CHRM1,0.9115549161794682
346,CHRM2,0.6631354763876129
347,CHRM3,0.017859711829620345
348,CHRM5,0.06740643555524689
349,CHUK,8.23306854112
350,CIR1,1.867752333
351,CISH,2.3586962356
352,CLEC1B,0.06633428602
353,CLEC4D,0.1570389399294914
354,CLEC4E,0.08758538922949138
355,CLEC4M,0.1126247332
356,CLEC6A,0.22073059163999997
357,CLEC7A,0.14203131740000002
358,CLIP1,0.456232018
359,CNR1,0.56056739786
360,CNTF,1.8971201525699994
361,CNTFR,4.281051944373999
362,COL1A1,0.8843149372738516
363,COL1A2,0.8226697349738996
364,COL2A1,0.2609194469268799
365,COL3A1,0.125280505
